run,condition,iteration,reported,true
text_similarity_control_0830_0938,control,0,0.2092,0.2092
text_similarity_control_0830_0938,control,1,0.4337,0.4337
text_similarity_control_0830_0938,control,2,0.2721,0.2721
text_similarity_control_0830_0938,control,3,0.4592,0.4592
text_similarity_control_0830_0938,control,4,0.4974,0.4974
text_similarity_control_0830_0938,control,5,0.5328,0.5328
text_similarity_control_0830_0938,control,6,0.4971,0.4971
text_similarity_control_0830_0938,control,7,0.5587,0.5587
text_similarity_control_0830_0938,control,8,0.5373,0.5373
text_similarity_control_0830_0938,control,9,0.5209,0.5209
text_similarity_control_0830_0938,control,10,0.5382,0.5382
text_similarity_control_0830_0938,control,11,0.5288,0.5288
text_similarity_control_0830_0938,control,12,0.5277,0.5277
text_similarity_control_0830_0938,control,13,0.5373,0.5373
text_similarity_control_0830_0938,control,14,0.5511,0.5511
text_similarity_control_0830_0938,control,15,0.5375,0.5375
text_similarity_control_0830_1037,control,0,0.2092,0.2092
text_similarity_control_0830_1037,control,1,0.5512,0.5512
text_similarity_control_0830_1037,control,2,0.5676,0.5676
text_similarity_control_0830_1037,control,3,0.5798,0.5798
text_similarity_control_0830_1037,control,4,0.5545,0.5545
text_similarity_control_0830_1037,control,5,0.5927,0.5927
text_similarity_control_0830_1037,control,6,0.5343,0.5343
text_similarity_control_0830_1037,control,7,0.515,0.515
text_similarity_control_0830_1037,control,8,0.5923,0.5923
text_similarity_control_0830_1037,control,9,,
text_similarity_control_0830_1037,control,10,0.5896,0.5896
text_similarity_control_0830_1037,control,11,0.5854,0.5854
text_similarity_control_0830_1037,control,12,0.6076,0.6076
text_similarity_control_0830_1037,control,13,0.6127,0.6127
text_similarity_control_0830_1037,control,14,0.6352,0.6352
text_similarity_control_0830_1037,control,15,0.6332,0.6332
text_similarity_control_0830_1058,control,0,0.2092,0.2092
text_similarity_control_0830_1058,control,1,0.5463,0.5463
text_similarity_control_0830_1058,control,2,0.564,0.564
text_similarity_control_0830_1058,control,3,,
text_similarity_control_0830_1058,control,4,0.522,0.522
text_similarity_control_0830_1058,control,5,0.5406,0.5406
text_similarity_control_0830_1058,control,6,0.5433,0.5433
text_similarity_control_0830_1058,control,7,0.5465,0.5465
text_similarity_control_0830_1058,control,8,0.5429,0.5429
text_similarity_control_0830_1058,control,9,0.5429,0.5429
text_similarity_control_0830_1058,control,10,0.5468,0.5468
text_similarity_control_0830_1058,control,11,0.5396,0.5396
text_similarity_control_0830_1058,control,12,0.5352,0.5352
text_similarity_control_0830_1058,control,13,0.5465,0.5465
text_similarity_control_0830_1058,control,14,0.5323,0.5323
text_similarity_control_0830_1058,control,15,0.5429,0.5429
text_similarity_dead_0830_1007,dead,0,0.1524,0.2092
text_similarity_dead_0830_1007,dead,1,0.3951,0.3636
text_similarity_dead_0830_1007,dead,2,0.4937,0.5334
text_similarity_dead_0830_1007,dead,3,0.6625,0.5595
text_similarity_dead_0830_1007,dead,4,0.6607,0.5454
text_similarity_dead_0830_1007,dead,5,0.4271,0.5581
text_similarity_dead_0830_1007,dead,6,0.466,0.5544
text_similarity_dead_0830_1007,dead,7,0.5653,0.5454
text_similarity_dead_0830_1007,dead,8,0.5278,0.5632
text_similarity_dead_0830_1007,dead,9,0.6839,0.5544
text_similarity_dead_0830_1007,dead,10,0.5745,0.5476
text_similarity_dead_0830_1007,dead,11,0.5116,0.5285
text_similarity_dead_0830_1007,dead,12,0.5537,0.5835
text_similarity_dead_0830_1007,dead,13,0.5074,0.5412
text_similarity_dead_0830_1007,dead,14,0.544,0.5443
text_similarity_dead_0830_1007,dead,15,0.4399,0.5005
text_similarity_dead_0830_1048,dead,0,0.1524,0.2092
text_similarity_dead_0830_1048,dead,1,0.4531,0.4585
text_similarity_dead_0830_1048,dead,2,0.5496,0.4052
text_similarity_dead_0830_1048,dead,3,0.3266,0.4588
text_similarity_dead_0830_1048,dead,4,0.5853,0.4836
text_similarity_dead_0830_1048,dead,5,0.4964,0.5013
text_similarity_dead_0830_1048,dead,6,0.3946,0.5026
text_similarity_dead_0830_1048,dead,7,0.4824,0.4967
text_similarity_dead_0830_1048,dead,8,0.5959,0.4974
text_similarity_dead_0830_1048,dead,9,0.5646,0.5594
text_similarity_dead_0830_1048,dead,10,0.5759,0.5708
text_similarity_dead_0830_1048,dead,11,0.405,0.5579
text_similarity_dead_0830_1048,dead,12,0.4524,0.5708
text_similarity_dead_0830_1048,dead,13,0.405,0.5579
text_similarity_dead_0830_1048,dead,14,0.405,0.5579
text_similarity_dead_0830_1048,dead,15,0.5756,0.5616
text_similarity_dead_0830_1109,dead,0,0.1524,0.2092
text_similarity_dead_0830_1109,dead,1,0.5424,0.578
text_similarity_dead_0830_1109,dead,2,0.5528,0.6082
text_similarity_dead_0830_1109,dead,3,0.6117,0.6579
text_similarity_dead_0830_1109,dead,4,0.4822,0.6779
text_similarity_dead_0830_1109,dead,5,0.5351,0.676
text_similarity_dead_0830_1109,dead,6,0.481,0.6608
text_similarity_dead_0830_1109,dead,7,0.6013,0.6589
text_similarity_dead_0830_1109,dead,8,0.4702,0.6589
text_similarity_dead_0830_1109,dead,9,0.4629,0.6589
text_similarity_dead_0830_1109,dead,10,0.5154,0.6589
text_similarity_dead_0830_1109,dead,11,0.684,0.6442
text_similarity_dead_0830_1109,dead,12,0.5851,0.6176
text_similarity_dead_0830_1109,dead,13,0.5106,0.6121
text_similarity_dead_0830_1109,dead,14,0.6027,0.6117
text_similarity_dead_0830_1109,dead,15,0.5817,0.6209
